title,description,price,count,image
Bantha-II cargo skiff,Bantha-II,8000,5,https://starwars-visualguide.com/assets/img/vehicles/25.jpg
TIE/IN interceptor,Twin Ion Engine Interceptor,12000,1,https://starwars-visualguide.com/assets/img/vehicles/26.jpg
Imperial Speeder Bike,74-Z speeder bike,8000,1,https://starwars-visualguide.com/assets/img/vehicles/30.jpg
Vulture Droid,Vulture-class droid starfighter,4200,0,https://starwars-visualguide.com/assets/img/vehicles/33.jpg
Multi-Troop Transport,Multi-Troop Transport,138000,4,https://starwars-visualguide.com/assets/img/vehicles/34.jpg
Armored Assault Tank,Armoured Assault Tank,536.25,4,https://starwars-visualguide.com/assets/img/vehicles/35.jpg
Single Trooper Aerial Platform,Single Trooper Aerial Platform,2500,1,https://starwars-visualguide.com/assets/img/vehicles/36.jpg
C-9979 landing craft,C-9979 landing craft,200000,140,https://starwars-visualguide.com/assets/img/vehicles/37.jpg
Tribubble bongo,Tribubble bongo,1275,1,https://starwars-visualguide.com/assets/img/vehicles/38.jpg
Sith speeder,FC-20 speeder bike,4000,1,https://starwars-visualguide.com/assets/img/vehicles/42.jpg